19.02.2015 16:43:57 15,86 Mbit/s
19.02.2015 16:44:13 11,69 Mbit/s
19.02.2015 16:44:43 9,99 Mbit/s
19.02.2015 16:44:33 7,96 Mbit/s
19.02.2015 16:44:57 8,51 Mbit/s
19.02.2015 16:45:33 6,92 Mbit/s
19.02.2015 16:45:13 4,35 Mbit/s
19.02.2015 16:45:43 5,98 Mbit/s
19.02.2015 16:45:57 4,33 Mbit/s
19.02.2015 16:46:33 4,49 Mbit/s
19.02.2015 16:46:13 3,64 Mbit/s
19.02.2015 16:46:43 3,18 Mbit/s
19.02.2015 16:46:57 3,09 Mbit/s
19.02.2015 16:47:13 3,49 Mbit/s
19.02.2015 16:47:33 3,06 Mbit/s
19.02.2015 16:47:57 2,95 Mbit/s
19.02.2015 16:47:43 2,51 Mbit/s
19.02.2015 16:48:13 2,45 Mbit/s
19.02.2015 16:48:33 2,75 Mbit/s
19.02.2015 16:48:43 2,03 Mbit/s
19.02.2015 16:48:57 1,90 Mbit/s
